format,view,chunk_size,step,ref_step,shift,hit_count,n_chunks,hit_ratio
torchsave,file,65536,8,7,4096,82,22788,0.003598
torchsave,file,1048576,8,7,1,2,1424,0.001404
torchsave,file,1048576,8,7,16,2,1424,0.001404
torchsave,file,1048576,8,7,256,2,1424,0.001404
torchsave,file,1048576,8,7,4096,2,1424,0.001404
torchsave,file,4194304,8,7,1,0,356,0.0
torchsave,file,4194304,8,7,16,0,356,0.0
torchsave,file,4194304,8,7,256,0,356,0.0
torchsave,file,4194304,8,7,4096,0,356,0.0
torchsave,file,4096,9,8,1,1344,364610,0.003686
torchsave,file,4096,9,8,16,1344,364610,0.003686
torchsave,file,4096,9,8,256,1344,364610,0.003686
torchsave,file,4096,9,8,4096,1355,364610,0.003716
torchsave,file,65536,9,8,1,82,22788,0.003598
torchsave,file,65536,9,8,16,82,22788,0.003598
torchsave,file,65536,9,8,256,82,22788,0.003598
torchsave,file,65536,9,8,4096,82,22788,0.003598
torchsave,file,1048576,9,8,1,2,1424,0.001404
torchsave,file,1048576,9,8,16,2,1424,0.001404
torchsave,file,1048576,9,8,256,2,1424,0.001404
torchsave,file,1048576,9,8,4096,2,1424,0.001404
torchsave,file,4194304,9,8,1,0,356,0.0
torchsave,file,4194304,9,8,16,0,356,0.0
torchsave,file,4194304,9,8,256,0,356,0.0
torchsave,file,4194304,9,8,4096,0,356,0.0
torchsave,file,4096,10,9,1,1344,364610,0.003686
torchsave,file,4096,10,9,16,1344,364610,0.003686
torchsave,file,4096,10,9,256,1344,364610,0.003686
torchsave,file,4096,10,9,4096,1355,364610,0.003716
torchsave,file,65536,10,9,1,82,22788,0.003598
torchsave,file,65536,10,9,16,82,22788,0.003598
torchsave,file,65536,10,9,256,82,22788,0.003598
torchsave,file,65536,10,9,4096,82,22788,0.003598
torchsave,file,1048576,10,9,1,2,1424,0.001404
torchsave,file,1048576,10,9,16,2,1424,0.001404
torchsave,file,1048576,10,9,256,2,1424,0.001404
torchsave,file,1048576,10,9,4096,2,1424,0.001404
torchsave,file,4194304,10,9,1,0,356,0.0
torchsave,file,4194304,10,9,16,0,356,0.0
torchsave,file,4194304,10,9,256,0,356,0.0
torchsave,file,4194304,10,9,4096,0,356,0.0
torchsave,file,4096,11,10,1,1344,364610,0.003686
torchsave,file,4096,11,10,16,1344,364610,0.003686
torchsave,file,4096,11,10,256,1344,364610,0.003686
torchsave,file,4096,11,10,4096,1355,364610,0.003716
torchsave,file,65536,11,10,1,82,22788,0.003598
torchsave,file,65536,11,10,16,82,22788,0.003598
torchsave,file,65536,11,10,256,82,22788,0.003598
torchsave,file,65536,11,10,4096,82,22788,0.003598
torchsave,file,1048576,11,10,1,2,1424,0.001404
torchsave,file,1048576,11,10,16,2,1424,0.001404
torchsave,file,1048576,11,10,256,2,1424,0.001404
torchsave,file,1048576,11,10,4096,2,1424,0.001404
torchsave,file,4194304,11,10,1,0,356,0.0
torchsave,file,4194304,11,10,16,0,356,0.0
torchsave,file,4194304,11,10,256,0,356,0.0
torchsave,file,4194304,11,10,4096,0,356,0.0
torchsave,file,4096,12,11,1,1344,364610,0.003686
torchsave,file,4096,12,11,16,1344,364610,0.003686
torchsave,file,4096,12,11,256,1344,364610,0.003686
torchsave,file,4096,12,11,4096,1355,364610,0.003716
torchsave,file,65536,12,11,1,82,22788,0.003598
torchsave,file,65536,12,11,16,82,22788,0.003598
torchsave,file,65536,12,11,256,82,22788,0.003598
torchsave,file,65536,12,11,4096,82,22788,0.003598
torchsave,file,1048576,12,11,1,2,1424,0.001404
torchsave,file,1048576,12,11,16,2,1424,0.001404
torchsave,file,1048576,12,11,256,2,1424,0.001404
torchsave,file,1048576,12,11,4096,2,1424,0.001404
torchsave,file,4194304,12,11,1,0,356,0.0
torchsave,file,4194304,12,11,16,0,356,0.0
torchsave,file,4194304,12,11,256,0,356,0.0
torchsave,file,4194304,12,11,4096,0,356,0.0
torchsave,file,4096,13,12,1,1344,364610,0.003686
torchsave,file,4096,13,12,16,1344,364610,0.003686
torchsave,file,4096,13,12,256,1344,364610,0.003686
torchsave,file,4096,13,12,4096,1355,364610,0.003716
torchsave,file,65536,13,12,1,82,22788,0.003598
torchsave,file,65536,13,12,16,82,22788,0.003598
torchsave,file,65536,13,12,256,82,22788,0.003598
torchsave,file,65536,13,12,4096,82,22788,0.003598
torchsave,file,1048576,13,12,1,2,1424,0.001404
torchsave,file,1048576,13,12,16,2,1424,0.001404
torchsave,file,1048576,13,12,256,2,1424,0.001404
torchsave,file,1048576,13,12,4096,2,1424,0.001404
torchsave,file,4194304,13,12,1,0,356,0.0
torchsave,file,4194304,13,12,16,0,356,0.0
torchsave,file,4194304,13,12,256,0,356,0.0
torchsave,file,4194304,13,12,4096,0,356,0.0
torchsave,file,4096,14,13,1,1344,364610,0.003686
torchsave,file,4096,14,13,16,1344,364610,0.003686
torchsave,file,4096,14,13,256,1344,364610,0.003686
torchsave,file,4096,14,13,4096,1355,364610,0.003716
torchsave,file,65536,14,13,1,82,22788,0.003598
torchsave,file,65536,14,13,16,82,22788,0.003598
torchsave,file,65536,14,13,256,82,22788,0.003598
torchsave,file,65536,14,13,4096,82,22788,0.003598
torchsave,file,1048576,14,13,1,2,1424,0.001404
torchsave,file,1048576,14,13,16,2,1424,0.001404
torchsave,file,1048576,14,13,256,2,1424,0.001404
torchsave,file,1048576,14,13,4096,2,1424,0.001404
torchsave,file,4194304,14,13,1,0,356,0.0
torchsave,file,4194304,14,13,16,0,356,0.0
torchsave,file,4194304,14,13,256,0,356,0.0
torchsave,file,4194304,14,13,4096,0,356,0.0
torchsave,file,4096,15,14,1,1344,364610,0.003686
torchsave,file,4096,15,14,16,1344,364610,0.003686
torchsave,file,4096,15,14,256,1344,364610,0.003686
torchsave,file,4096,15,14,4096,1355,364610,0.003716
torchsave,file,65536,15,14,1,82,22788,0.003598
torchsave,file,65536,15,14,16,82,22788,0.003598
torchsave,file,65536,15,14,256,82,22788,0.003598
torchsave,file,65536,15,14,4096,82,22788,0.003598
torchsave,file,1048576,15,14,1,2,1424,0.001404
torchsave,file,1048576,15,14,16,2,1424,0.001404
torchsave,file,1048576,15,14,256,2,1424,0.001404
torchsave,file,1048576,15,14,4096,2,1424,0.001404
torchsave,file,4194304,15,14,1,0,356,0.0
torchsave,file,4194304,15,14,16,0,356,0.0
torchsave,file,4194304,15,14,256,0,356,0.0
torchsave,file,4194304,15,14,4096,0,356,0.0
torchsave,file,4096,16,15,1,1344,364610,0.003686
torchsave,file,4096,16,15,16,1344,364610,0.003686
torchsave,file,4096,16,15,256,1344,364610,0.003686
torchsave,file,4096,16,15,4096,1355,364610,0.003716
torchsave,file,65536,16,15,1,82,22788,0.003598
torchsave,file,65536,16,15,16,82,22788,0.003598
torchsave,file,65536,16,15,256,82,22788,0.003598
torchsave,file,65536,16,15,4096,82,22788,0.003598
torchsave,file,1048576,16,15,1,2,1424,0.001404
torchsave,file,1048576,16,15,16,2,1424,0.001404
torchsave,file,1048576,16,15,256,2,1424,0.001404
torchsave,file,1048576,16,15,4096,2,1424,0.001404
torchsave,file,4194304,16,15,1,0,356,0.0
torchsave,file,4194304,16,15,16,0,356,0.0
torchsave,file,4194304,16,15,256,0,356,0.0
