format,view,chunk_size,step,ref_step,shift,hit_count,n_chunks,hit_ratio
weights,file,4096,16,15,256,0,121534,0.0
weights,file,4096,16,15,4096,3,121534,2.5e-05
weights,file,65536,16,15,1,0,7595,0.0
weights,file,65536,16,15,16,0,7595,0.0
weights,file,65536,16,15,256,0,7595,0.0
weights,file,65536,16,15,4096,0,7595,0.0
weights,file,1048576,16,15,1,0,474,0.0
weights,file,1048576,16,15,16,0,474,0.0
weights,file,1048576,16,15,256,0,474,0.0
weights,file,1048576,16,15,4096,0,474,0.0
weights,file,4194304,16,15,1,0,118,0.0
weights,file,4194304,16,15,16,0,118,0.0
weights,file,4194304,16,15,256,0,118,0.0
weights,file,4194304,16,15,4096,0,118,0.0
weights,file,4096,17,16,1,0,121534,0.0
weights,file,4096,17,16,16,0,121534,0.0
weights,file,4096,17,16,256,0,121534,0.0
weights,file,4096,17,16,4096,3,121534,2.5e-05
weights,file,65536,17,16,1,0,7595,0.0
weights,file,65536,17,16,16,0,7595,0.0
weights,file,65536,17,16,256,0,7595,0.0
weights,file,65536,17,16,4096,0,7595,0.0
weights,file,1048576,17,16,1,0,474,0.0
weights,file,1048576,17,16,16,0,474,0.0
weights,file,1048576,17,16,256,0,474,0.0
weights,file,1048576,17,16,4096,0,474,0.0
weights,file,4194304,17,16,1,0,118,0.0
weights,file,4194304,17,16,16,0,118,0.0
weights,file,4194304,17,16,256,0,118,0.0
weights,file,4194304,17,16,4096,0,118,0.0
weights,file,4096,18,17,1,0,121534,0.0
weights,file,4096,18,17,16,0,121534,0.0
weights,file,4096,18,17,256,0,121534,0.0
weights,file,4096,18,17,4096,3,121534,2.5e-05
weights,file,65536,18,17,1,0,7595,0.0
weights,file,65536,18,17,16,0,7595,0.0
weights,file,65536,18,17,256,0,7595,0.0
weights,file,65536,18,17,4096,0,7595,0.0
weights,file,1048576,18,17,1,0,474,0.0
weights,file,1048576,18,17,16,0,474,0.0
weights,file,1048576,18,17,256,0,474,0.0
weights,file,1048576,18,17,4096,0,474,0.0
weights,file,4194304,18,17,1,0,118,0.0
weights,file,4194304,18,17,16,0,118,0.0
weights,file,4194304,18,17,256,0,118,0.0
weights,file,4194304,18,17,4096,0,118,0.0
weights,file,4096,19,18,1,0,121534,0.0
weights,file,4096,19,18,16,0,121534,0.0
weights,file,4096,19,18,256,0,121534,0.0
weights,file,4096,19,18,4096,3,121534,2.5e-05
weights,file,65536,19,18,1,0,7595,0.0
weights,file,65536,19,18,16,0,7595,0.0
weights,file,65536,19,18,256,0,7595,0.0
weights,file,65536,19,18,4096,0,7595,0.0
weights,file,1048576,19,18,1,0,474,0.0
weights,file,1048576,19,18,16,0,474,0.0
weights,file,1048576,19,18,256,0,474,0.0
weights,file,1048576,19,18,4096,0,474,0.0
weights,file,4194304,19,18,1,0,118,0.0
weights,file,4194304,19,18,16,0,118,0.0
weights,file,4194304,19,18,256,0,118,0.0
weights,file,4194304,19,18,4096,0,118,0.0
dcp,file,4096,1,0,1,1344,364742,0.003685
dcp,file,4096,1,0,16,1344,364742,0.003685
dcp,file,4096,1,0,256,1344,364742,0.003685
dcp,file,4096,1,0,4096,1345,364742,0.003688
dcp,file,65536,1,0,1,82,22796,0.003597
dcp,file,65536,1,0,16,82,22796,0.003597
dcp,file,65536,1,0,256,82,22796,0.003597
dcp,file,65536,1,0,4096,82,22796,0.003597
dcp,file,1048576,1,0,1,4,1424,0.002809
dcp,file,1048576,1,0,16,4,1424,0.002809
dcp,file,1048576,1,0,256,4,1424,0.002809
dcp,file,1048576,1,0,4096,4,1424,0.002809
dcp,file,4194304,1,0,1,0,356,0.0
dcp,file,4194304,1,0,16,0,356,0.0
dcp,file,4194304,1,0,256,0,356,0.0
dcp,file,4194304,1,0,4096,0,356,0.0
dcp,file,4096,2,1,1,1344,364742,0.003685
dcp,file,4096,2,1,16,1344,364742,0.003685
dcp,file,4096,2,1,256,1344,364742,0.003685
dcp,file,4096,2,1,4096,1345,364742,0.003688
dcp,file,65536,2,1,1,82,22796,0.003597
dcp,file,65536,2,1,16,82,22796,0.003597
dcp,file,65536,2,1,256,82,22796,0.003597
dcp,file,65536,2,1,4096,82,22796,0.003597
dcp,file,1048576,2,1,1,4,1424,0.002809
dcp,file,1048576,2,1,16,4,1424,0.002809
dcp,file,1048576,2,1,256,4,1424,0.002809
dcp,file,1048576,2,1,4096,4,1424,0.002809
dcp,file,4194304,2,1,1,0,356,0.0
dcp,file,4194304,2,1,16,0,356,0.0
dcp,file,4194304,2,1,256,0,356,0.0
dcp,file,4194304,2,1,4096,0,356,0.0
dcp,file,4096,3,2,1,1344,364742,0.003685
dcp,file,4096,3,2,16,1344,364742,0.003685
dcp,file,4096,3,2,256,1344,364742,0.003685
dcp,file,4096,3,2,4096,1345,364742,0.003688
dcp,file,65536,3,2,1,82,22796,0.003597
dcp,file,65536,3,2,16,82,22796,0.003597
dcp,file,65536,3,2,256,82,22796,0.003597
dcp,file,65536,3,2,4096,82,22796,0.003597
dcp,file,1048576,3,2,1,4,1424,0.002809
dcp,file,1048576,3,2,16,4,1424,0.002809
dcp,file,1048576,3,2,256,4,1424,0.002809
dcp,file,1048576,3,2,4096,4,1424,0.002809
dcp,file,4194304,3,2,1,0,356,0.0
dcp,file,4194304,3,2,16,0,356,0.0
dcp,file,4194304,3,2,256,0,356,0.0
dcp,file,4194304,3,2,4096,0,356,0.0
dcp,file,4096,4,3,1,1344,364742,0.003685
dcp,file,4096,4,3,16,1344,364742,0.003685
dcp,file,4096,4,3,256,1344,364742,0.003685
dcp,file,4096,4,3,4096,1345,364742,0.003688
dcp,file,65536,4,3,1,82,22796,0.003597
dcp,file,65536,4,3,16,82,22796,0.003597
dcp,file,65536,4,3,256,82,22796,0.003597
dcp,file,65536,4,3,4096,82,22796,0.003597
dcp,file,1048576,4,3,1,4,1424,0.002809
dcp,file,1048576,4,3,16,4,1424,0.002809
dcp,file,1048576,4,3,256,4,1424,0.002809
dcp,file,1048576,4,3,4096,4,1424,0.002809
dcp,file,4194304,4,3,1,0,356,0.0
dcp,file,4194304,4,3,16,0,356,0.0
dcp,file,4194304,4,3,256,0,356,0.0
dcp,file,4194304,4,3,4096,0,356,0.0
dcp,file,4096,5,4,1,1344,364742,0.003685
dcp,file,4096,5,4,16,1344,364742,0.003685
dcp,file,4096,5,4,256,1344,364742,0.003685
dcp,file,4096,5,4,4096,1345,364742,0.003688
dcp,file,65536,5,4,1,82,22796,0.003597
dcp,file,65536,5,4,16,82,22796,0.003597
dcp,file,65536,5,4,256,82,22796,0.003597
dcp,file,65536,5,4,4096,82,22796,0.003597
dcp,file,1048576,5,4,1,4,1424,0.002809
dcp,file,1048576,5,4,16,4,1424,0.002809
dcp,file,1048576,5,4,256,4,1424,0.002809
dcp,file,1048576,5,4,4096,4,1424,0.002809
dcp,file,4194304,5,4,1,0,356,0.0
dcp,file,4194304,5,4,16,0,356,0.0
dcp,file,4194304,5,4,256,0,356,0.0
dcp,file,4194304,5,4,4096,0,356,0.0
dcp,file,4096,6,5,1,1344,364742,0.003685
dcp,file,4096,6,5,16,1344,364742,0.003685
dcp,file,4096,6,5,256,1344,364742,0.003685
dcp,file,4096,6,5,4096,1345,364742,0.003688
dcp,file,65536,6,5,1,82,22796,0.003597
dcp,file,65536,6,5,16,82,22796,0.003597
dcp,file,65536,6,5,256,82,22796,0.003597
dcp,file,65536,6,5,4096,82,22796,0.003597
dcp,file,1048576,6,5,1,4,1424,0.002809
dcp,file,1048576,6,5,16,4,1424,0.002809
dcp,file,1048576,6,5,256,4,1424,0.002809
dcp,file,1048576,6,5,4096,4,1424,0.002809
dcp,file,4194304,6,5,1,0,356,0.0
dcp,file,4194304,6,5,16,0,356,0.0
dcp,file,4194304,6,5,256,0,356,0.0
dcp,file,4194304,6,5,4096,0,356,0.0
dcp,file,4096,7,6,1,1344,364742,0.003685
dcp,file,4096,7,6,16,1344,364742,0.003685
dcp,file,4096,7,6,256,1344,364742,0.003685
dcp,file,4096,7,6,4096,1345,364742,0.003688
dcp,file,65536,7,6,1,82,22796,0.003597
dcp,file,65536,7,6,16,82,22796,0.003597
dcp,file,65536,7,6,256,82,22796,0.003597
dcp,file,65536,7,6,4096,82,22796,0.003597
dcp,file,1048576,7,6,1,4,1424,0.002809
dcp,file,1048576,7,6,16,4,1424,0.002809
dcp,file,1048576,7,6,256,4,1424,0.002809
dcp,file,1048576,7,6,4096,4,1424,0.002809
dcp,file,4194304,7,6,1,0,356,0.0
dcp,file,4194304,7,6,16,0,356,0.0
dcp,file,4194304,7,6,256,0,356,0.0
dcp,file,4194304,7,6,4096,0,356,0.0
dcp,file,4096,8,7,1,1344,364742,0.003685
dcp,file,4096,8,7,16,1344,364742,0.003685
dcp,file,4096,8,7,256,1344,364742,0.003685
dcp,file,4096,8,7,4096,1345,364742,0.003688
dcp,file,65536,8,7,1,82,22796,0.003597
dcp,file,65536,8,7,16,82,22796,0.003597
dcp,file,65536,8,7,256,82,22796,0.003597
dcp,file,65536,8,7,4096,82,22796,0.003597
dcp,file,1048576,8,7,1,4,1424,0.002809
dcp,file,1048576,8,7,16,4,1424,0.002809
dcp,file,1048576,8,7,256,4,1424,0.002809
dcp,file,1048576,8,7,4096,4,1424,0.002809
dcp,file,4194304,8,7,1,0,356,0.0
dcp,file,4194304,8,7,16,0,356,0.0
dcp,file,4194304,8,7,256,0,356,0.0
dcp,file,4194304,8,7,4096,0,356,0.0
dcp,file,4096,9,8,1,1344,364742,0.003685
dcp,file,4096,9,8,16,1344,364742,0.003685
dcp,file,4096,9,8,256,1344,364742,0.003685
dcp,file,4096,9,8,4096,1345,364742,0.003688
dcp,file,65536,9,8,1,82,22796,0.003597
dcp,file,65536,9,8,16,82,22796,0.003597
dcp,file,65536,9,8,256,82,22796,0.003597
dcp,file,65536,9,8,4096,82,22796,0.003597
dcp,file,1048576,9,8,1,4,1424,0.002809
dcp,file,1048576,9,8,16,4,1424,0.002809
dcp,file,1048576,9,8,256,4,1424,0.002809
dcp,file,1048576,9,8,4096,4,1424,0.002809
dcp,file,4194304,9,8,1,0,356,0.0
dcp,file,4194304,9,8,16,0,356,0.0
dcp,file,4194304,9,8,256,0,356,0.0
dcp,file,4194304,9,8,4096,0,356,0.0
dcp,file,4096,10,9,1,1344,364742,0.003685
dcp,file,4096,10,9,16,1344,364742,0.003685
dcp,file,4096,10,9,256,1344,364742,0.003685
dcp,file,4096,10,9,4096,1345,364742,0.003688
dcp,file,65536,10,9,1,82,22796,0.003597
dcp,file,65536,10,9,16,82,22796,0.003597
dcp,file,65536,10,9,256,82,22796,0.003597
dcp,file,65536,10,9,4096,82,22796,0.003597
dcp,file,1048576,10,9,1,4,1424,0.002809
dcp,file,1048576,10,9,16,4,1424,0.002809
dcp,file,1048576,10,9,256,4,1424,0.002809
dcp,file,1048576,10,9,4096,4,1424,0.002809
dcp,file,4194304,10,9,1,0,356,0.0
dcp,file,4194304,10,9,16,0,356,0.0
dcp,file,4194304,10,9,256,0,356,0.0
dcp,file,4194304,10,9,4096,0,356,0.0
dcp,file,4096,11,10,1,1344,364742,0.003685
dcp,file,4096,11,10,16,1344,364742,0.003685
dcp,file,4096,11,10,256,1344,364742,0.003685
dcp,file,4096,11,10,4096,1345,364742,0.003688
dcp,file,65536,11,10,1,82,22796,0.003597
dcp,file,65536,11,10,16,82,22796,0.003597
dcp,file,65536,11,10,256,82,22796,0.003597
dcp,file,65536,11,10,4096,82,22796,0.003597
dcp,file,1048576,11,10,1,4,1424,0.002809
dcp,file,1048576,11,10,16,4,1424,0.002809
dcp,file,1048576,11,10,256,4,1424,0.002809
dcp,file,1048576,11,10,4096,4,1424,0.002809
dcp,file,4194304,11,10,1,0,356,0.0
dcp,file,4194304,11,10,16,0,356,0.0
dcp,file,4194304,11,10,256,0,356,0.0
dcp,file,4194304,11,10,4096,0,356,0.0
dcp,file,4096,12,11,1,1344,364742,0.003685
dcp,file,4096,12,11,16,1344,364742,0.003685
dcp,file,4096,12,11,256,1344,364742,0.003685
dcp,file,4096,12,11,4096,1345,364742,0.003688
dcp,file,65536,12,11,1,82,22796,0.003597
dcp,file,65536,12,11,16,82,22796,0.003597
dcp,file,65536,12,11,256,82,22796,0.003597
dcp,file,65536,12,11,4096,82,22796,0.003597
dcp,file,1048576,12,11,1,4,1424,0.002809
dcp,file,1048576,12,11,16,4,1424,0.002809
dcp,file,1048576,12,11,256,4,1424,0.002809
dcp,file,1048576,12,11,4096,4,1424,0.002809
dcp,file,4194304,12,11,1,0,356,0.0
dcp,file,4194304,12,11,16,0,356,0.0
dcp,file,4194304,12,11,256,0,356,0.0
dcp,file,4194304,12,11,4096,0,356,0.0
dcp,file,4096,13,12,1,1344,364742,0.003685
dcp,file,4096,13,12,16,1344,364742,0.003685
dcp,file,4096,13,12,256,1344,364742,0.003685
dcp,file,4096,13,12,4096,1345,364742,0.003688
dcp,file,65536,13,12,1,82,22796,0.003597
dcp,file,65536,13,12,16,82,22796,0.003597
dcp,file,65536,13,12,256,82,22796,0.003597
dcp,file,65536,13,12,4096,82,22796,0.003597
dcp,file,1048576,13,12,1,4,1424,0.002809
dcp,file,1048576,13,12,16,4,1424,0.002809
dcp,file,1048576,13,12,256,4,1424,0.002809
dcp,file,1048576,13,12,4096,4,1424,0.002809
dcp,file,4194304,13,12,1,0,356,0.0
dcp,file,4194304,13,12,16,0,356,0.0
dcp,file,4194304,13,12,256,0,356,0.0
dcp,file,4194304,13,12,4096,0,356,0.0
dcp,file,4096,14,13,1,1344,364742,0.003685
dcp,file,4096,14,13,16,1344,364742,0.003685
dcp,file,4096,14,13,256,1344,364742,0.003685
dcp,file,4096,14,13,4096,1345,364742,0.003688
dcp,file,65536,14,13,1,82,22796,0.003597
dcp,file,65536,14,13,16,82,22796,0.003597
dcp,file,65536,14,13,256,82,22796,0.003597
dcp,file,65536,14,13,4096,82,22796,0.003597
dcp,file,1048576,14,13,1,4,1424,0.002809
dcp,file,1048576,14,13,16,4,1424,0.002809
dcp,file,1048576,14,13,256,4,1424,0.002809
dcp,file,1048576,14,13,4096,4,1424,0.002809
dcp,file,4194304,14,13,1,0,356,0.0
dcp,file,4194304,14,13,16,0,356,0.0
dcp,file,4194304,14,13,256,0,356,0.0
dcp,file,4194304,14,13,4096,0,356,0.0
dcp,file,4096,15,14,1,1344,364742,0.003685
dcp,file,4096,15,14,16,1344,364742,0.003685
dcp,file,4096,15,14,256,1344,364742,0.003685
dcp,file,4096,15,14,4096,1345,364742,0.003688
dcp,file,65536,15,14,1,82,22796,0.003597
dcp,file,65536,15,14,16,82,22796,0.003597
dcp,file,65536,15,14,256,82,22796,0.003597
dcp,file,65536,15,14,4096,82,22796,0.003597
dcp,file,1048576,15,14,1,4,1424,0.002809
dcp,file,1048576,15,14,16,4,1424,0.002809
dcp,file,1048576,15,14,256,4,1424,0.002809
dcp,file,1048576,15,14,4096,4,1424,0.002809
dcp,file,4194304,15,14,1,0,356,0.0
dcp,file,4194304,15,14,16,0,356,0.0
dcp,file,4194304,15,14,256,0,356,0.0
dcp,file,4194304,15,14,4096,0,356,0.0
dcp,file,4096,16,15,1,1344,364742,0.003685
dcp,file,4096,16,15,16,1344,364742,0.003685
dcp,file,4096,16,15,256,1344,364742,0.003685
dcp,file,4096,16,15,4096,1345,364742,0.003688
dcp,file,65536,16,15,1,82,22796,0.003597
dcp,file,65536,16,15,16,82,22796,0.003597
dcp,file,65536,16,15,256,82,22796,0.003597
dcp,file,65536,16,15,4096,82,22796,0.003597
dcp,file,1048576,16,15,1,4,1424,0.002809
dcp,file,1048576,16,15,16,4,1424,0.002809
dcp,file,1048576,16,15,256,4,1424,0.002809
dcp,file,1048576,16,15,4096,4,1424,0.002809
dcp,file,4194304,16,15,1,0,356,0.0
dcp,file,4194304,16,15,16,0,356,0.0
dcp,file,4194304,16,15,256,0,356,0.0
dcp,file,4194304,16,15,4096,0,356,0.0
dcp,file,4096,17,16,1,1344,364742,0.003685
dcp,file,4096,17,16,16,1344,364742,0.003685
dcp,file,4096,17,16,256,1344,364742,0.003685
dcp,file,4096,17,16,4096,1345,364742,0.003688
dcp,file,65536,17,16,1,82,22796,0.003597
dcp,file,65536,17,16,16,82,22796,0.003597
dcp,file,65536,17,16,256,82,22796,0.003597
dcp,file,65536,17,16,4096,82,22796,0.003597
dcp,file,1048576,17,16,1,4,1424,0.002809
dcp,file,1048576,17,16,16,4,1424,0.002809
dcp,file,1048576,17,16,256,4,1424,0.002809
dcp,file,1048576,17,16,4096,4,1424,0.002809
dcp,file,4194304,17,16,1,0,356,0.0
dcp,file,4194304,17,16,16,0,356,0.0
dcp,file,4194304,17,16,256,0,356,0.0
dcp,file,4194304,17,16,4096,0,356,0.0
dcp,file,4096,18,17,1,1344,364742,0.003685
dcp,file,4096,18,17,16,1344,364742,0.003685
dcp,file,4096,18,17,256,1344,364742,0.003685
dcp,file,4096,18,17,4096,1345,364742,0.003688
dcp,file,65536,18,17,1,82,22796,0.003597
dcp,file,65536,18,17,16,82,22796,0.003597
dcp,file,65536,18,17,256,82,22796,0.003597
dcp,file,65536,18,17,4096,82,22796,0.003597
dcp,file,1048576,18,17,1,4,1424,0.002809
dcp,file,1048576,18,17,16,4,1424,0.002809
dcp,file,1048576,18,17,256,4,1424,0.002809
dcp,file,1048576,18,17,4096,4,1424,0.002809
dcp,file,4194304,18,17,1,0,356,0.0
dcp,file,4194304,18,17,16,0,356,0.0
dcp,file,4194304,18,17,256,0,356,0.0
dcp,file,4194304,18,17,4096,0,356,0.0
dcp,file,4096,19,18,1,1344,364742,0.003685
dcp,file,4096,19,18,16,1344,364742,0.003685
dcp,file,4096,19,18,256,1344,364742,0.003685
dcp,file,4096,19,18,4096,1345,364742,0.003688
dcp,file,65536,19,18,1,82,22796,0.003597
dcp,file,65536,19,18,16,82,22796,0.003597
dcp,file,65536,19,18,256,82,22796,0.003597
dcp,file,65536,19,18,4096,82,22796,0.003597
dcp,file,1048576,19,18,1,4,1424,0.002809
dcp,file,1048576,19,18,16,4,1424,0.002809
dcp,file,1048576,19,18,256,4,1424,0.002809
dcp,file,1048576,19,18,4096,4,1424,0.002809
dcp,file,4194304,19,18,1,0,356,0.0
dcp,file,4194304,19,18,16,0,356,0.0
dcp,file,4194304,19,18,256,0,356,0.0
dcp,file,4194304,19,18,4096,0,356,0.0
