format,view,chunk_size,step,n_chunks,n_unique,intra_dup_ratio,hit_any_count,hit_any_ratio,hit_adj_count,hit_adj_ratio
dcp,file,1048576,14,1424,1421,0.002107,4,0.002809,4,0.002809
dcp,file,4194304,14,356,356,0.0,0,0.0,0,0.0
dcp,file,4096,15,364742,363399,0.003682,1346,0.00369,1346,0.00369
dcp,file,65536,15,22796,22715,0.003553,82,0.003597,82,0.003597
dcp,file,1048576,15,1424,1421,0.002107,4,0.002809,4,0.002809
dcp,file,4194304,15,356,356,0.0,0,0.0,0,0.0
dcp,file,4096,16,364742,363399,0.003682,1346,0.00369,1346,0.00369
dcp,file,65536,16,22796,22715,0.003553,82,0.003597,82,0.003597
dcp,file,1048576,16,1424,1421,0.002107,4,0.002809,4,0.002809
dcp,file,4194304,16,356,356,0.0,0,0.0,0,0.0
dcp,file,4096,17,364742,363399,0.003682,1346,0.00369,1346,0.00369
dcp,file,65536,17,22796,22715,0.003553,82,0.003597,82,0.003597
dcp,file,1048576,17,1424,1421,0.002107,4,0.002809,4,0.002809
dcp,file,4194304,17,356,356,0.0,0,0.0,0,0.0
dcp,file,4096,18,364742,363399,0.003682,1346,0.00369,1346,0.00369
dcp,file,65536,18,22796,22715,0.003553,82,0.003597,82,0.003597
dcp,file,1048576,18,1424,1421,0.002107,4,0.002809,4,0.002809
dcp,file,4194304,18,356,356,0.0,0,0.0,0,0.0
dcp,file,4096,19,364742,363399,0.003682,1346,0.00369,1346,0.00369
dcp,file,65536,19,22796,22715,0.003553,82,0.003597,82,0.003597
dcp,file,1048576,19,1424,1421,0.002107,4,0.002809,4,0.002809
dcp,file,4194304,19,356,356,0.0,0,0.0,0,0.0
